time,average_coverage
0.000000,2430
0.033333,5421
0.066667,6394
0.100000,8148
0.133333,9361
0.166667,9899
0.200000,10975
0.233333,12332
0.266667,13078
0.300000,13708
0.333333,14273
0.366667,14531
0.400000,15152
0.433333,15498
0.466667,15747
0.500000,16050
0.533333,16385
0.566667,16516
0.600000,16791
0.633333,17266
0.666667,17656
0.700000,17836
0.733333,18111
0.766667,18345
0.800000,18443
0.833333,18538
0.866667,18708
0.900000,18791
0.933333,18943
0.966667,19030
1.000000,19055
1.033333,19195
1.066667,19363
1.100000,19444
1.133333,19498
1.166667,19552
1.200000,19748
1.233333,19810
1.266667,19868
1.300000,20006
1.333333,20076
1.366667,20400
1.400000,20439
1.433333,20443
1.466667,20478
1.500000,20496
1.533333,20507
1.566667,20597
1.600000,20640
1.633333,20678
1.666667,20784
1.700000,20828
1.733333,20835
1.766667,20931
1.800000,20959
1.833333,20960
1.866667,20960
1.900000,20975
1.933333,20980
1.966667,21044
2.000000,21117
2.033333,21127
2.066667,21140
2.100000,21153
2.133333,21168
2.166667,21189
2.200000,21228
2.233333,21242
2.266667,21258
2.300000,21259
2.333333,21302
2.366667,21342
2.400000,21435
2.433333,21485
2.466667,21526
2.500000,21561
2.533333,21592
2.566667,21659
2.600000,21694
2.633333,21756
2.666667,21797
2.700000,21857
2.733333,21897
2.766667,21958
2.800000,21993
2.833333,22054
2.866667,22096
2.900000,22156
2.933333,22196
2.966667,22254
3.000000,22290
3.033333,22250
3.066667,22290
3.100000,22350
3.133333,22398
3.166667,22451
3.200000,22493
3.233333,22551
3.266667,22594
3.300000,22656
3.333333,22699
3.366667,22759
3.400000,22792
3.433333,22854
3.466667,22898
3.500000,22955
3.533333,22992
3.566667,23055
3.600000,23090
3.633333,23153
3.666667,23197
3.700000,23258
3.733333,23293
3.766667,23353
3.800000,23393
3.833333,23455
3.866667,23493
3.900000,23555
3.933333,23597
3.966667,23653
4.000000,23694
4.033333,23756
4.066667,23790
4.100000,23857
4.133333,23897
4.166667,23909
4.200000,23920
4.233333,23932
4.266667,23947
4.300000,23950
4.333333,23960
4.366667,23973
4.400000,23981
4.433333,23991
4.466667,23991
4.500000,23991
4.533333,23995
4.566667,23995
4.600000,23995
4.633333,23997
4.666667,23999
4.700000,24001
4.733333,24005
4.766667,24008
4.800000,24009
4.833333,24012
4.866667,24015
4.900000,24017
4.933333,24018
4.966667,24020
5.000000,24025
5.033333,24029
5.066667,24035
5.100000,24039
5.133333,24046
5.166667,24052
5.200000,24072
5.233333,24090
5.266667,24105
5.300000,24120
5.333333,24137
5.366667,24146
5.400000,24162
5.433333,24187
5.466667,24188
5.500000,24189
5.533333,24189
5.566667,24192
5.600000,24208
5.633333,24209
5.666667,24217
5.700000,24239
5.733333,24239
5.766667,24251
5.800000,24257
5.833333,24263
5.866667,24272
5.900000,24272
