time,average_coverage
0.000000,0
0.033333,4624
0.066667,5317
0.100000,8852
0.133333,9088
0.166667,9535
0.200000,10815
0.233333,11315
0.266667,11850
0.300000,12806
0.333333,13531
0.366667,14096
0.400000,14938
0.433333,15582
0.466667,15942
0.500000,16199
0.533333,16393
0.566667,16685
0.600000,16928
0.633333,17103
0.666667,17504
0.700000,17863
0.733333,18003
0.766667,18140
0.800000,18360
0.833333,18518
0.866667,18764
0.900000,18851
0.933333,18916
0.966667,19145
1.000000,19272
1.033333,19314
1.066667,19414
1.100000,19573
1.133333,19686
1.166667,19717
1.200000,19899
1.233333,20097
1.266667,20211
1.300000,20325
1.333333,20452
1.366667,20562
1.400000,20654
1.433333,20784
1.466667,20884
1.500000,20916
1.533333,20916
1.566667,20916
1.600000,20920
1.633333,20927
1.666667,20927
1.700000,20948
1.733333,21059
1.766667,21095
1.800000,21099
1.833333,21111
1.866667,21127
1.900000,21150
1.933333,21190
1.966667,21210
2.000000,21255
2.033333,21277
2.066667,21293
2.100000,21316
2.133333,21340
2.166667,21362
2.200000,21383
2.233333,21406
2.266667,21429
2.300000,21450
2.333333,21485
2.366667,21497
2.400000,21523
2.433333,21542
2.466667,21579
2.500000,21629
2.533333,21648
2.566667,21659
2.600000,21678
2.633333,21695
2.666667,21736
2.700000,21795
2.733333,21856
2.766667,21896
2.800000,21936
2.833333,21993
2.866667,22056
2.900000,22099
2.933333,22143
2.966667,22213
3.000000,22265
3.033333,22289
3.066667,22325
3.100000,22398
3.133333,22465
3.166667,22496
3.200000,22523
3.233333,22546
3.266667,22586
3.300000,22616
3.333333,22628
3.366667,22656
3.400000,22679
3.433333,22695
3.466667,22705
3.500000,22714
3.533333,22722
3.566667,22739
3.600000,22743
3.633333,22759
3.666667,22769
3.700000,22779
3.733333,22787
3.766667,22900
3.800000,22936
3.833333,22936
3.866667,22936
3.900000,22941
3.933333,22945
3.966667,22945
4.000000,22945
4.033333,22946
4.066667,22964
4.100000,22964
4.133333,22966
4.166667,22966
4.200000,22966
4.233333,22971
4.266667,22981
4.300000,22991
4.333333,23001
4.366667,23014
4.400000,23014
4.433333,23014
4.466667,23021
4.500000,23098
4.533333,23098
4.566667,23129
4.600000,23140
4.633333,23143
4.666667,23155
4.700000,23155
4.733333,23155
4.766667,23155
4.800000,23155
4.833333,23156
4.866667,23160
4.900000,23172
4.933333,23174
4.966667,23174
5.000000,23174
5.033333,23178
5.066667,23192
5.100000,23224
5.133333,23225
5.166667,23225
5.200000,23225
5.233333,23244
5.266667,23245
5.300000,23245
5.333333,23257
5.366667,23258
5.400000,23284
5.433333,23290
5.466667,23290
5.500000,23290
5.533333,23291
5.566667,23291
5.600000,23294
5.633333,23294
5.666667,23315
5.700000,23315
5.733333,23315
5.766667,23316
5.800000,23336
5.833333,23351
5.866667,23355
5.900000,23361
5.933333,23361
5.966667,23393
6.000000,23451
6.033333,23468
6.066667,23468
6.100000,23468
6.133333,23472
6.166667,23518
6.200000,23518
6.233333,23518
6.266667,23518
6.300000,23518
6.333333,23518
6.366667,23519
6.400000,23542
6.433333,23542
6.466667,23546
6.500000,23546
6.533333,23546
6.566667,23546
6.600000,23550
6.633333,23556
6.666667,23556
6.700000,23556
6.733333,23556
6.766667,23556
6.800000,23562
6.833333,23564
6.866667,23564
6.900000,23564
6.933333,23564
6.966667,23564
7.000000,23564
7.033333,23569
7.066667,23569
7.100000,23580
7.133333,23580
7.166667,23580
7.200000,23580
7.233333,23580
7.266667,23580
7.300000,23580
7.333333,23589
7.366667,23620
7.400000,23628
7.433333,23628
7.466667,23628
7.500000,23639
7.533333,23643
7.566667,23643
7.600000,23657
7.633333,23658
7.666667,23660
7.700000,23660
7.733333,23660
7.766667,23660
7.800000,23660
7.833333,23660
7.866667,23662
7.900000,23662
7.933333,23679
7.966667,23688
8.000000,23699
8.033333,23699
8.066667,23739
8.100000,23739
8.133333,23740
8.166667,23760
8.200000,23763
8.233333,23766
8.266667,23769
8.300000,23772
8.333333,23773
8.366667,23775
8.400000,23778
8.433333,23782
8.466667,23785
8.500000,23789
8.533333,23792
8.566667,23796
8.600000,23799
8.633333,23802
8.666667,23805
8.700000,23807
8.733333,23808
8.766667,23809
8.800000,23811
8.833333,23812
8.866667,23815
8.900000,23817
8.933333,23825
8.966667,23835
9.000000,23842
9.033333,23851
9.066667,23859
9.100000,23865
9.133333,23878
9.166667,23886
9.200000,23892
9.233333,23899
9.266667,23905
9.300000,23912
9.333333,23919
9.366667,23926
9.400000,23935
9.433333,23941
9.466667,23949
9.500000,23959
9.533333,23971
9.566667,23982
9.600000,23991
9.633333,23999
9.666667,24011
9.700000,24025
9.733333,24036
9.766667,24049
9.800000,24059
9.833333,24072
9.866667,24089
9.900000,24099
9.933333,24105
9.966667,24111
10.000000,24122
10.033333,24142
10.066667,24159
10.100000,24175
10.133333,24195
10.166667,24212
10.200000,24235
10.233333,24249
10.266667,24258
10.300000,24269
10.333333,24275
10.366667,24289
10.400000,24298
10.433333,24306
10.466667,24315
10.500000,24322
10.533333,24336
10.566667,24348
10.600000,24359
10.633333,24367
10.666667,24378
10.700000,24385
10.733333,24396
10.766667,24402
10.800000,24409
10.833333,24419
10.866667,24425
10.900000,24436
10.933333,24448
10.966667,24452
11.000000,24461
11.033333,24469
11.066667,24472
11.100000,24477
11.133333,24478
11.166667,24719
11.200000,24719
11.233333,24719
11.266667,24724
11.300000,24743
11.333333,24743
11.366667,24743
11.400000,24743
11.433333,24743
11.466667,24746
11.500000,24746
11.533333,24746
11.566667,24746
11.600000,24746
11.633333,24748
11.666667,24752
11.700000,24756
11.733333,24770
11.766667,24773
11.800000,24775
11.833333,24775
11.866667,24775
11.900000,24777
11.933333,24780
11.966667,24780
12.000000,24780
12.033333,24781
12.066667,24781
12.100000,24781
12.133333,24781
12.166667,24781
12.200000,24790
12.233333,24790
12.266667,24791
12.300000,24800
12.333333,24822
12.366667,24822
12.400000,24822
12.433333,24822
12.466667,24824
12.500000,24824
12.533333,24824
12.566667,24831
12.600000,24831
12.633333,24831
12.666667,24833
12.700000,24882
12.733333,24882
12.766667,24883
12.800000,24884
12.833333,24884
12.866667,24884
12.900000,24884
12.933333,24884
12.966667,24884
13.000000,24884
13.033333,24884
13.066667,24884
13.100000,24886
13.133333,24886
13.166667,24886
13.200000,24887
13.233333,24887
13.266667,24887
13.300000,24887
13.333333,24887
13.366667,24887
13.400000,24888
13.433333,24923
13.466667,24923
13.500000,24923
13.533333,24923
13.566667,24923
13.600000,24923
13.633333,24923
13.666667,24923
13.700000,24923
13.733333,24923
13.766667,24923
13.800000,24926
13.833333,24954
13.866667,24967
13.900000,24972
13.933333,24972
13.966667,24972
14.000000,24972
14.033333,24972
14.066667,24975
14.100000,24976
14.133333,24977
14.166667,24977
14.200000,24977
14.233333,24977
14.266667,24977
14.300000,25006
14.333333,25006
14.366667,25006
14.400000,25023
14.433333,25023
14.466667,25023
14.500000,25023
14.533333,25023
14.566667,25023
14.600000,25023
14.633333,25023
14.666667,25023
14.700000,25023
14.733333,25023
14.766667,25024
14.800000,25024
14.833333,25032
14.866667,25085
14.900000,25085
14.933333,25114
14.966667,25122
15.000000,25130
15.033333,25130
15.066667,25152
15.100000,25152
15.133333,25152
15.166667,25153
15.200000,25153
15.233333,25153
15.266667,25153
15.300000,25153
15.333333,25153
15.366667,25172
15.400000,25174
15.433333,25174
15.466667,25174
15.500000,25183
15.533333,25183
15.566667,25183
15.600000,25188
15.633333,25189
15.666667,25189
15.700000,25189
15.733333,25189
15.766667,25195
15.800000,25195
15.833333,25195
15.866667,25195
15.900000,25197
15.933333,25197
15.966667,25197
16.000000,25197
16.033333,25197
16.066667,25198
16.100000,25199
16.133333,25200
16.166667,25200
16.200000,25205
16.233333,25205
16.266667,25205
16.300000,25205
16.333333,25205
16.366667,25205
16.400000,25206
16.433333,25218
16.466667,25245
16.500000,25245
16.533333,25245
16.566667,25255
16.600000,25255
16.633333,25267
16.666667,25267
16.700000,25267
16.733333,25268
16.766667,25268
16.800000,25268
16.833333,25268
16.866667,25268
16.900000,25276
16.933333,25280
16.966667,25284
17.000000,25301
17.033333,25301
17.066667,25301
17.100000,25301
17.133333,25301
17.166667,25301
17.200000,25302
17.233333,25302
17.266667,25302
17.300000,25314
17.333333,25314
17.366667,25314
17.400000,25315
17.433333,25315
17.466667,25315
17.500000,25358
17.533333,25358
17.566667,25358
17.600000,25358
17.633333,25359
17.666667,25359
17.700000,25363
17.733333,25363
17.766667,25363
17.800000,25363
17.833333,25363
17.866667,25363
17.900000,25363
17.933333,25384
17.966667,25390
18.000000,25392
18.033333,25392
18.066667,25392
18.100000,25392
18.133333,25396
18.166667,25396
18.200000,25397
18.233333,25399
18.266667,25400
18.300000,25400
18.333333,25400
18.366667,25400
18.400000,25400
18.433333,25400
18.466667,25400
18.500000,25464
18.533333,25464
18.566667,25464
18.600000,25464
18.633333,25464
18.666667,25464
18.700000,25464
18.733333,25464
18.766667,25464
18.800000,25464
18.833333,25467
18.866667,25469
18.900000,25469
18.933333,25469
18.966667,25469
19.000000,25471
19.033333,25471
19.066667,25471
19.100000,25497
19.133333,25497
19.166667,25497
19.200000,25497
19.233333,25538
19.266667,25541
19.300000,25541
19.333333,25541
19.366667,25541
19.400000,25556
19.433333,25556
19.466667,25556
19.500000,25556
19.533333,25556
19.566667,25556
19.600000,25572
19.633333,25572
19.666667,25572
19.700000,25572
19.733333,25572
19.766667,25573
19.800000,25577
19.833333,25577
19.866667,25577
19.900000,25577
19.933333,25577
19.966667,25577
20.000000,25577
20.033333,25580
20.066667,25580
20.100000,25580
20.133333,25595
20.166667,25601
20.200000,25604
20.233333,25604
20.266667,25605
20.300000,25605
20.333333,25605
20.366667,25606
20.400000,25606
20.433333,25614
20.466667,25614
20.500000,25614
20.533333,25614
20.566667,25614
20.600000,25614
20.633333,25614
20.666667,25614
20.700000,25614
20.733333,25614
20.766667,25614
20.800000,25614
20.833333,25614
20.866667,25614
20.900000,25614
20.933333,25614
20.966667,25614
21.000000,25620
21.033333,25622
21.066667,25622
21.100000,25626
21.133333,25675
21.166667,25675
21.200000,25675
21.233333,25675
21.266667,25675
21.300000,25675
21.333333,25676
21.366667,25681
21.400000,25681
21.433333,25827
21.466667,25827
21.500000,25827
21.533333,25827
21.566667,25827
21.600000,25827
21.633333,25827
21.666667,25827
21.700000,25827
21.733333,25827
21.766667,25827
21.800000,25867
21.833333,25870
21.866667,25870
21.900000,25870
21.933333,25870
21.966667,25870
22.000000,25901
22.033333,25912
22.066667,25913
22.100000,25913
22.133333,25913
22.166667,25913
22.200000,25914
22.233333,25914
22.266667,25914
22.300000,25914
22.333333,25914
22.366667,25914
22.400000,25921
22.433333,25923
22.466667,25923
22.500000,25923
22.533333,25925
22.566667,25925
22.600000,25925
22.633333,25925
22.666667,25925
22.700000,25925
22.733333,25925
22.766667,25925
22.800000,25925
22.833333,25925
22.866667,25925
22.900000,25925
22.933333,25925
22.966667,25925
23.000000,25933
23.033333,25933
23.066667,25933
23.100000,25953
23.133333,25963
23.166667,25963
23.200000,25963
23.233333,25990
23.266667,25990
23.300000,25990
23.333333,25990
23.366667,25990
23.400000,25999
23.433333,25999
23.466667,25999
23.500000,25999
23.533333,25999
23.566667,25999
23.600000,26007
23.633333,26007
23.666667,26007
23.700000,26007
23.733333,26009
23.766667,26009
23.800000,26009
23.833333,26010
23.866667,26010
23.900000,26010
23.933333,26010
23.966667,26014
24.000000,26161.6
