time,average_coverage
0.000000,0
0.033333,5504
0.066667,7221
0.100000,8817
0.133333,10025
0.166667,10911
0.200000,11505
0.233333,12850
0.266667,13228
0.300000,13820
0.333333,14211
0.366667,14562
0.400000,14905
0.433333,15616
0.466667,15946
0.500000,16178
0.533333,16453
0.566667,16679
0.600000,16828
0.633333,16955
0.666667,17027
0.700000,17362
0.733333,17450
0.766667,17618
0.800000,17694
0.833333,17794
0.866667,17936
0.900000,18228
0.933333,18344
0.966667,18504
1.000000,18580
1.033333,18712
1.066667,18984
1.100000,19077
1.133333,19374
1.166667,19494
1.200000,19740
1.233333,19854
1.266667,19937
1.300000,20164
1.333333,20207
1.366667,20403
1.400000,20569
1.433333,20703
1.466667,20801
1.500000,20904
1.533333,21242
1.566667,21308
1.600000,21424
1.633333,21526
1.666667,21542
1.700000,21563
1.733333,21580
1.766667,21617
1.800000,21678
1.833333,21800
1.866667,21819
1.900000,21830
1.933333,21849
1.966667,21901
2.000000,22051
2.033333,22056
2.066667,22071
2.100000,22156
2.133333,22172
2.166667,22209
2.200000,22226
2.233333,22235
2.266667,22277
2.300000,22285
2.333333,22347
2.366667,22367
2.400000,22427
2.433333,22463
2.466667,22471
2.500000,22481
2.533333,22515
2.566667,22559
2.600000,22575
2.633333,22575
2.666667,22592
2.700000,22613
2.733333,22627
2.766667,22633
2.800000,22679
2.833333,22736
2.866667,22752
2.900000,22768
2.933333,22779
2.966667,22810
3.000000,22833
3.033333,22841
3.066667,22869
3.100000,22893
3.133333,22895
3.166667,22905
3.200000,22910
3.233333,22912
3.266667,22949
3.300000,22956
3.333333,22963
3.366667,22964
3.400000,22974
3.433333,22988
3.466667,22988
3.500000,22996
3.533333,23002
3.566667,23003
3.600000,23004
3.633333,23013
3.666667,23082
3.700000,23082
3.733333,23113
3.766667,23113
3.800000,23113
3.833333,23113
3.866667,23117
3.900000,23117
3.933333,23119
3.966667,23119
4.000000,23119
4.033333,23143
4.066667,23603
4.100000,23603
4.133333,23603
4.166667,23622
4.200000,23624
4.233333,23624
4.266667,23643
4.300000,23653
4.333333,23653
4.366667,23653
4.400000,23653
4.433333,23653
4.466667,23653
4.500000,23686
4.533333,23730
4.566667,23747
4.600000,24112
4.633333,24112
4.666667,24118
4.700000,24172
4.733333,24178
4.766667,24178
4.800000,24178
4.833333,24495
4.866667,24717
4.900000,24805
4.933333,24805
4.966667,24812
5.000000,24812
5.033333,24832
5.066667,24835
5.100000,24835
5.133333,24835
5.166667,24888
5.200000,24888
5.233333,24888
5.266667,24888
5.300000,24889
5.333333,24892
5.366667,24897
5.400000,24897
5.433333,24897
5.466667,24897
5.500000,24897
5.533333,24897
5.566667,24898
5.600000,24919
5.633333,24919
5.666667,24919
5.700000,24919
5.733333,24941
5.766667,24973
5.800000,24975
5.833333,24976
5.866667,24985
5.900000,24989
5.933333,24995
5.966667,25000
6.000000,25001
6.033333,25001
6.066667,25003
6.100000,25003
6.133333,25078
6.166667,25095
6.200000,25109
6.233333,25109
6.266667,25109
6.300000,25109
6.333333,25109
6.366667,25109
6.400000,25111
6.433333,25248
6.466667,25248
6.500000,25248
6.533333,25248
6.566667,25248
6.600000,25248
6.633333,25248
6.666667,25285
6.700000,25287
6.733333,25287
6.766667,25288
6.800000,25301
6.833333,25307
6.866667,25312
6.900000,25368
6.933333,25370
6.966667,25372
7.000000,25404
7.033333,25408
7.066667,25412
7.100000,25543
7.133333,25543
7.166667,25544
7.200000,25552
7.233333,25552
7.266667,25635
7.300000,25637
7.333333,25643
7.366667,25643
7.400000,25643
7.433333,25646
7.466667,25647
7.500000,25647
7.533333,25649
7.566667,25653
7.600000,25655
7.633333,25655
7.666667,25655
7.700000,25833
7.733333,25838
7.766667,25838
7.800000,25838
7.833333,25839
7.866667,25840
7.900000,25847
7.933333,25852
7.966667,25924
8.000000,25941
8.033333,25941
8.066667,25941
8.100000,25942
8.133333,25942
8.166667,25942
8.200000,25942
8.233333,25949
8.266667,25949
8.300000,25951
8.333333,25954
8.366667,25954
8.400000,26072
8.433333,26072
8.466667,26072
8.500000,26072
8.533333,26073
8.566667,26127
8.600000,26127
8.633333,26155
8.666667,26156
8.700000,26157
8.733333,26157
8.766667,26157
8.800000,26158
8.833333,26158
8.866667,26158
8.900000,26158
8.933333,26161
8.966667,26161
9.000000,26172
9.033333,26172
9.066667,26172
9.100000,26172
9.133333,26172
9.166667,26172
9.200000,26177
9.233333,26184
9.266667,26184
9.300000,26184
9.333333,26184
9.366667,26184
9.400000,26185
9.433333,26185
9.466667,26185
9.500000,26185
9.533333,26187
9.566667,26187
9.600000,26210
9.633333,26210
9.666667,26210
9.700000,26210
9.733333,26210
9.766667,26210
9.800000,26210
9.833333,26210
9.866667,26210
9.900000,26210
9.933333,26210
9.966667,26214
10.000000,26214
10.033333,26214
10.066667,26215
10.100000,26248
10.133333,26254
10.166667,26254
10.200000,26255
10.233333,26255
10.266667,26255
10.300000,26255
10.333333,26255
10.366667,26258
10.400000,26288
10.433333,26295
10.466667,26388
10.500000,26397
10.533333,26397
10.566667,26397
10.600000,26397
10.633333,26502
10.666667,26537
10.700000,26537
10.733333,26555
10.766667,26555
10.800000,26555
10.833333,26562
10.866667,26562
10.900000,26562
10.933333,26562
10.966667,26564
11.000000,26564
11.033333,26570
11.066667,26570
11.100000,26570
11.133333,26571
11.166667,26615
11.200000,26616
11.233333,26652
11.266667,26652
11.300000,26652
11.333333,26652
11.366667,26669
11.400000,26669
11.433333,26670
11.466667,26680
11.500000,26680
11.533333,26680
11.566667,26680
11.600000,26680
11.633333,26680
11.666667,26680
11.700000,26680
11.733333,26926
11.766667,26926
11.800000,26926
11.833333,26929
11.866667,26929
11.900000,26938
11.933333,26948
11.966667,26948
12.000000,26948
12.033333,26948
12.066667,26948
12.100000,26948
12.133333,26966
12.166667,26968
12.200000,26968
12.233333,26968
12.266667,26968
12.300000,26968
12.333333,26968
12.366667,26968
12.400000,26977
12.433333,26982
12.466667,26982
12.500000,26982
12.533333,26983
12.566667,26985
12.600000,26985
12.633333,26985
12.666667,26985
12.700000,26990
12.733333,27018
12.766667,27018
12.800000,27020
12.833333,27021
12.866667,27025
12.900000,27025
12.933333,27044
12.966667,27044
13.000000,27044
13.033333,27044
13.066667,27044
13.100000,27050
13.133333,27050
13.166667,27050
13.200000,27056
13.233333,27057
13.266667,27057
13.300000,27057
13.333333,27057
13.366667,27057
13.400000,27058
13.433333,27058
13.466667,27058
13.500000,27058
13.533333,27058
13.566667,27061
13.600000,27061
13.633333,27061
13.666667,27098
13.700000,27140
13.733333,27206
13.766667,27212
13.800000,27221
13.833333,27221
13.866667,27221
13.900000,27221
13.933333,27225
13.966667,27235
14.000000,27238
14.033333,27244
14.066667,27252
