time,average_coverage
0.000000,2721
0.033333,5800
0.066667,6933
0.100000,8600
0.133333,10067
0.166667,10969
0.200000,12280
0.233333,12761
0.266667,13526
0.300000,14247
0.333333,14882
0.366667,15420
0.400000,16397
0.433333,16774
0.466667,17155
0.500000,17375
0.533333,17642
0.566667,17787
0.600000,17907
0.633333,18054
0.666667,18277
0.700000,18389
0.733333,18447
0.766667,18633
0.800000,18879
0.833333,18949
0.866667,19032
0.900000,19108
0.933333,19222
0.966667,19453
1.000000,19562
1.033333,19597
1.066667,19696
1.100000,19742
1.133333,19783
1.166667,19832
1.200000,19909
1.233333,19990
1.266667,20131
1.300000,20235
1.333333,20249
1.366667,20306
1.400000,20348
1.433333,20435
1.466667,20535
1.500000,20958
1.533333,21006
1.566667,21055
1.600000,21058
1.633333,21131
1.666667,21221
1.700000,21238
1.733333,21277
1.766667,21364
1.800000,21390
1.833333,21409
1.866667,21443
1.900000,21479
1.933333,21746
1.966667,21804
2.000000,21842
2.033333,22224
2.066667,22307
2.100000,22451
2.133333,22623
2.166667,22884
2.200000,23080
2.233333,23095
2.266667,23103
2.300000,23119
2.333333,23281
2.366667,23341
2.400000,23403
2.433333,23482
2.466667,23500
2.500000,23518
2.533333,23521
2.566667,23581
2.600000,23679
2.633333,23679
2.666667,23758
2.700000,23775
2.733333,23778
2.766667,23795
2.800000,23807
2.833333,23838
2.866667,23903
2.900000,24290
2.933333,24384
2.966667,24507
3.000000,24551
3.033333,24572
3.066667,24582
3.100000,24598
3.133333,24642
3.166667,24653
3.200000,24668
3.233333,24714
3.266667,24767
3.300000,24893
3.333333,24926
3.366667,24948
3.400000,24996
3.433333,25041
3.466667,25079
3.500000,25080
3.533333,25125
3.566667,25254
3.600000,25261
3.633333,25278
3.666667,25294
3.700000,25328
3.733333,25532
3.766667,25558
3.800000,25574
3.833333,25610
3.866667,25632
3.900000,25696
3.933333,25730
3.966667,25732
4.000000,25740
4.033333,25753
4.066667,25760
4.100000,25842
4.133333,25850
4.166667,25892
4.200000,25975
4.233333,25977
4.266667,25989
4.300000,26052
4.333333,26059
4.366667,26076
4.400000,26076
4.433333,26101
4.466667,26119
4.500000,26123
4.533333,26123
4.566667,26123
4.600000,26127
4.633333,26145
4.666667,26188
4.700000,26188
4.733333,26191
4.766667,26196
4.800000,26201
4.833333,26201
4.866667,26201
4.900000,26201
4.933333,26401
4.966667,26426
5.000000,26429
5.033333,26444
5.066667,26446
5.100000,26455
5.133333,26552
5.166667,26809
5.200000,26809
5.233333,26809
5.266667,26836
5.300000,26907
5.333333,26975
5.366667,26993
5.400000,27018
5.433333,27058
5.466667,27187
5.500000,27189
5.533333,27189
5.566667,27230
5.600000,27243
5.633333,27292
5.666667,27292
5.700000,27441
5.733333,27484
5.766667,27511
5.800000,27519
5.833333,27576
5.866667,27577
5.900000,27613
5.933333,27633
5.966667,27664
6.000000,27664
6.033333,27712
6.066667,27712
6.100000,27714
6.133333,27732
6.166667,27739
6.200000,27742
6.233333,27742
6.266667,27757
6.300000,27777
6.333333,27838
6.366667,27838
6.400000,27847
6.433333,27847
6.466667,27850
6.500000,27850
6.533333,27862
6.566667,27870
6.600000,27885
6.633333,27886
6.666667,27886
6.700000,27889
6.733333,27924
6.766667,27927
6.800000,28021
6.833333,28026
6.866667,28028
6.900000,28028
