time,average_coverage
0.000000,2698
0.033333,3767
0.066667,7140
0.100000,8455
0.133333,9382
0.166667,10062
0.200000,11366
0.233333,12004
0.266667,12829
0.300000,13342
0.333333,13738
0.366667,14193
0.400000,15016
0.433333,16172
0.466667,16339
0.500000,16559
0.533333,17190
0.566667,17632
0.600000,17918
0.633333,18146
0.666667,18248
0.700000,18454
0.733333,18949
0.766667,19084
0.800000,19179
0.833333,19259
0.866667,19422
0.900000,19677
0.933333,19812
0.966667,19923
1.000000,20051
1.033333,20135
1.066667,20157
1.100000,20354
1.133333,20405
1.166667,20515
1.200000,20621
1.233333,20652
1.266667,20775
1.300000,21032
1.333333,21300
1.366667,21420
1.400000,21824
1.433333,22057
1.466667,22247
1.500000,22563
1.533333,22803
1.566667,23098
1.600000,23188
1.633333,23203
1.666667,23296
1.700000,23345
1.733333,23573
1.766667,23728
1.800000,23984
1.833333,24123
1.866667,24266
1.900000,24350
1.933333,24461
1.966667,24476
2.000000,24512
2.033333,24548
2.066667,24598
2.100000,24598
2.133333,24627
2.166667,24642
2.200000,24647
2.233333,24895
2.266667,24910
2.300000,24991
2.333333,24997
2.366667,25106
2.400000,25127
2.433333,25216
2.466667,25276
2.500000,25280
2.533333,25310
2.566667,25334
2.600000,25417
2.633333,25421
2.666667,25425
2.700000,25440
2.733333,25466
2.766667,25466
2.800000,25498
2.833333,25590
2.866667,25602
2.900000,25647
2.933333,25689
2.966667,25723
3.000000,25744
3.033333,25759
3.066667,25780
3.100000,25804
3.133333,25833
3.166667,25861
3.200000,25866
3.233333,25871
3.266667,25893
3.300000,25899
3.333333,25926
3.366667,26183
3.400000,26396
3.433333,26445
3.466667,26589
3.500000,26625
3.533333,26781
3.566667,26855
3.600000,26899
3.633333,26909
3.666667,26930
3.700000,26930
3.733333,26936
3.766667,26996
3.800000,27041
3.833333,27057
3.866667,27084
3.900000,27089
3.933333,27138
3.966667,27143
4.000000,27152
4.033333,27202
4.066667,27211
4.100000,27219
4.133333,27226
4.166667,27254
4.200000,27256
4.233333,27256
4.266667,27311
4.300000,27352
4.333333,27360
4.366667,27365
4.400000,27386
4.433333,27391
4.466667,27399
4.500000,27426
4.533333,27438
4.566667,27440
4.600000,27444
4.633333,27466
4.666667,27472
4.700000,27475
4.733333,27480
4.766667,27481
4.800000,27508
4.833333,27537
4.866667,27545
4.900000,27546
4.933333,27566
4.966667,27573
5.000000,27576
5.033333,27584
5.066667,27585
5.100000,27591
5.133333,27610
5.166667,27617
5.200000,27619
5.233333,27621
5.266667,27630
5.300000,27656
5.333333,27704
5.366667,27707
5.400000,27727
5.433333,27736
5.466667,27740
5.500000,27741
