time,average_coverage
0.000000,2807
0.033333,5911
0.066667,7192
0.100000,7949
0.133333,9113
0.166667,10506
0.200000,10996
0.233333,12068
0.266667,12348
0.300000,13282
0.333333,13785
0.366667,14095
0.400000,14564
0.433333,14875
0.466667,15266
0.500000,15435
0.533333,15756
0.566667,16108
0.600000,16381
0.633333,16698
0.666667,16933
0.700000,17341
0.733333,17547
0.766667,17853
0.800000,18234
0.833333,18591
0.866667,18876
0.900000,19154
0.933333,19318
0.966667,19518
1.000000,19759
1.033333,19996
1.066667,20146
1.100000,20271
1.133333,20498
1.166667,20643
1.200000,20824
1.233333,20984
1.266667,21160
1.300000,21231
1.333333,21417
1.366667,21596
1.400000,21734
1.433333,21820
1.466667,21963
1.500000,22039
1.533333,22171
1.566667,22254
1.600000,22312
1.633333,22447
1.666667,22548
1.700000,22605
1.733333,22792
1.766667,22823
1.800000,22900
1.833333,23048
1.866667,23104
1.900000,23292
1.933333,23388
1.966667,23440
2.000000,23538
2.033333,23686
2.066667,23751
2.100000,23795
2.133333,23827
2.166667,23851
2.200000,23872
2.233333,23896
2.266667,23953
2.300000,24003
2.333333,24083
2.366667,24185
2.400000,24252
2.433333,24298
2.466667,24329
2.500000,24369
2.533333,24380
2.566667,24389
2.600000,24412
2.633333,24421
2.666667,24447
2.700000,24453
2.733333,24465
2.766667,24489
2.800000,24490
2.833333,24490
2.866667,24491
2.900000,24532
2.933333,24556
2.966667,24566
3.000000,24589
3.033333,24604
3.066667,24604
3.100000,24605
3.133333,24660
3.166667,24697
3.200000,24697
3.233333,24697
3.266667,24697
3.300000,24697
3.333333,24869
3.366667,24877
3.400000,24940
3.433333,24995
3.466667,25010
3.500000,25019
3.533333,25019
3.566667,25024
3.600000,25111
3.633333,25142
3.666667,25174
3.700000,25209
3.733333,25213
3.766667,25226
3.800000,25251
3.833333,25316
3.866667,25322
3.900000,25322
3.933333,25332
3.966667,25390
4.000000,25393
4.033333,25393
4.066667,25393
4.100000,25404
4.133333,25502
4.166667,25551
4.200000,25553
4.233333,25574
4.266667,25574
4.300000,25590
4.333333,25640
4.366667,25642
4.400000,25686
4.433333,25686
4.466667,25686
4.500000,25686
4.533333,25695
4.566667,25704
4.600000,25704
4.633333,25704
4.666667,25704
4.700000,25704
4.733333,25716
4.766667,25723
4.800000,25768
4.833333,25772
4.866667,25796
4.900000,25807
4.933333,25811
4.966667,25883
5.000000,25891
5.033333,25891
5.066667,25891
5.100000,25893
5.133333,25897
5.166667,25897
5.200000,25903
5.233333,25903
5.266667,25917
5.300000,25919
5.333333,25953
5.366667,25954
5.400000,25961
5.433333,25972
5.466667,25977
5.500000,25978
5.533333,25978
5.566667,25992
5.600000,25992
5.633333,25992
5.666667,25992
5.700000,26011
5.733333,26011
5.766667,26011
5.800000,26030
5.833333,26030
5.866667,26030
5.900000,26030
5.933333,26033
5.966667,26040
6.000000,26042
6.033333,26042
6.066667,26042
